from,to,meters,highway,surface,incline,sidewalk,maxspeed,name
osm53281204,osm53281192,86.37,service,asphalt,,,,
osm53281204,osm53281208,4.72,service,asphalt,,,,
osm53281208,osm53281204,4.72,service,asphalt,,,,
osm53281208,osm53281218,96.77,service,asphalt,,,,
osm53281218,osm53281208,96.77,service,asphalt,,,,
osm53281218,osm53281222,49.64,service,asphalt,,,,
osm53281222,osm53281218,49.64,service,asphalt,,,,
osm53281222,osm53281226,31.55,service,asphalt,,,,
osm53281226,osm53281222,31.55,service,asphalt,,,,
osm53281226,osm53281234,58.09,service,asphalt,,,,
osm53281234,osm53281226,58.09,service,asphalt,,,,
osm53281234,osm53281236,27.79,service,asphalt,,,,
osm53281236,osm53281234,27.79,service,asphalt,,,,
osm53281236,osm53281237,17.67,service,asphalt,,,,
osm53281237,osm53281236,17.67,service,asphalt,,,,
osm53281237,osm53281241,65.03,service,asphalt,,,,
osm53281241,osm53281237,65.03,service,asphalt,,,,
osm53281241,osm53281256,101.83,service,asphalt,,,,
osm53281256,osm53281241,101.83,service,asphalt,,,,
osm53281260,osm53281267,54.98,service,asphalt,,,,
osm53281267,osm53281260,54.98,service,asphalt,,,,
osm53281267,osm12915258206,43.53,service,asphalt,,,,
osm12915258206,osm53281267,43.53,service,asphalt,,,,
osm12915258206,osm53281274,32.17,service,asphalt,,,,
osm53281274,osm12915258206,32.17,service,asphalt,,,,
osm53281274,osm53281282,123.8,service,asphalt,,,,
osm53281282,osm53281274,123.8,service,asphalt,,,,
osm53281282,osm53281287,61.24,service,asphalt,,,,
osm53281287,osm53281282,61.24,service,asphalt,,,,
osm53281287,osm53281241,133.21,service,asphalt,,,,
osm53281241,osm53281287,133.21,service,asphalt,,,,
osm53281293,osm3462304662,8.76,service,asphalt,,,,
osm3462304662,osm53281293,8.76,service,asphalt,,,,
osm3462304662,osm6876648760,6.6,service,asphalt,,,,
osm6876648760,osm3462304662,6.6,service,asphalt,,,,
osm6876648760,osm53281298,44.61,service,asphalt,,,,
osm53281298,osm6876648760,44.61,service,asphalt,,,,
osm53281298,osm53281311,98.09,service,asphalt,,,,
osm53281311,osm53281298,98.09,service,asphalt,,,,
osm53281311,osm53281329,99.9,service,asphalt,,,,
osm53281329,osm53281311,99.9,service,asphalt,,,,
osm53281329,osm53281343,98.88,service,asphalt,,,,
osm53281343,osm53281329,98.88,service,asphalt,,,,
osm53281343,osm53281345,14.3,service,asphalt,,,,
osm53281345,osm53281343,14.3,service,asphalt,,,,
osm53281345,osm53281362,119.78,service,asphalt,,,,
osm53281362,osm53281345,119.78,service,asphalt,,,,
osm53281373,osm53281379,25.42,service,asphalt,,,,
osm53281379,osm53281373,25.42,service,asphalt,,,,
osm53281379,osm12023702110,127.39,service,asphalt,,,,
osm12023702110,osm53281379,127.39,service,asphalt,,,,
osm12023702110,osm53281345,22.13,service,asphalt,,,,
osm53281345,osm12023702110,22.13,service,asphalt,,,,
osm53281665,osm5489180198,8.66,service,,,,,
osm5489180198,osm53281665,8.66,service,,,,,
osm5489180198,osm5489180185,112.21,service,,,,,
osm5489180185,osm5489180198,112.21,service,,,,,
osm5489180185,osm53281667,8.6,service,,,,,
